FID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
2662749	-13.6911	2.48688	-1.31695	1.89214	8.34689	-0.500261	-1.24566	-0.686357	1.31282	0.536388
2563096	-11.3036	1.4456	-1.78418	-0.334601	-0.608801	-0.63572	0.0721054	-0.806908	-0.620463	2.80715
3429057	-4.80949	-11.1345	-12.5129	12.2205	-16.7182	13.747	-25.6164	14.2734	-1.75575	-5.70735
1559868	-11.6852	2.88466	-2.27757	0.240352	-4.11034	0.816673	1.09553	1.36518	1.9362	-0.865133
2726182	102.832	-147.038	87.2762	28.4819	-6.46718	-8.30959	-5.10368	-12.1944	-4.75567	-23.234
1533984	-11.0646	6.31206	-2.44914	-0.83272	-2.82097	-0.372914	0.0217687	0.232813	0.815429	-2.54734
5648293	-14.1102	3.79404	-0.37638	-1.96882	-5.13312	0.916258	-0.670739	2.07476	-0.465709	0.51096
3993892	-13.6792	6.48701	-3.22123	1.9827	-8.49943	-0.914728	-0.650985	-0.980772	7.90646	3.95727
3713971	-11.9684	4.09445	-1.55682	0.154692	2.44611	-1.70061	1.355	-1.41179	-2.45499	-2.29989
3410291	-11.4042	4.79252	1.09558	-0.0671927	-7.85399	-0.223745	0.879478	-1.42647	-0.833103	-0.682185
1246828	-7.68399	5.0681	-1.86975	-2.42	-5.13463	0.541601	2.74561	-0.0795044	2.88871	2.67255
5595516	-10.5332	3.36892	-2.23761	8.86327	14.0781	-0.209436	1.07544	1.65896	-0.968902	0.0498973
5309541	-9.27343	4.94811	4.10218	-3.07399	-1.09639	1.64989	3.35567	1.5063	-0.575967	2.64825
2662987	-11.6024	0.962953	-1.63832	1.87604	3.01477	-0.982809	-1.52085	3.42955	3.02502	-0.872252
1841978	-13.1956	4.39792	-0.0510814	2.01507	-3.91604	0.073318	-3.13001	-0.960302	3.06371	1.4978
3167264	-11.6951	2.45162	0.753488	1.61806	1.78366	-0.187648	-1.28501	-1.35953	2.56881	1.13257
2793197	-15.1113	6.12418	-4.06014	5.10372	-5.39067	-1.26129	1.81772	-1.01365	1.35939	0.543019
4233856	-12.1495	4.53866	-0.821118	1.42377	-0.230213	-1.31502	-0.0588655	5.31556	5.19139	-0.0528217
4446474	-11.2659	4.13823	-1.15127	-1.14379	0.0206288	1.29083	-0.204882	1.2015	-1.40286	1.6871
2553342	-11.7916	4.82749	-2.00406	4.04675	5.11695	0.879786	0.401888	1.18147	-9.16465	-0.2063
1151723	-12.1544	2.16325	-1.80728	2.39389	5.89919	-1.17201	1.22814	-0.247846	-11.3363	0.330241
4082244	-14.6936	5.28894	-3.97227	4.8821	2.71792	-0.00379698	-1.18683	-1.23696	-2.79785	0.237865
5320298	-13.3207	4.40361	-0.12913	2.28084	10.0818	-1.03067	2.28984	-4.27376	-27.7245	4.50769
